filename,misspelt_word,candidates
IMG_8587_cropped_cleaned_ocr.txt,tolr,"toll,tor,told,tour,torr,tolu,tolar,tola,tole"
IMG_8587_cropped_cleaned_ocr.txt,naturalvora,
IMG_8587_cropped_cleaned_ocr.txt,acidlour,acidulous
IMG_8587_cropped_cleaned_ocr.txt,ingredientwaterhulleo,
IMG_8587_cropped_cleaned_ocr.txt,fermentedsoyaproductwithadded,
IMG_8588_cropped_cleaned_ocr.txt,andsesameseed,
IMG_8588_cropped_cleaned_ocr.txt,pastewith,
IMG_8588_cropped_cleaned_ocr.txt,ekpea,"eked,eke,kea,ikea,expel,ekes,elea,pea"
IMG_8588_cropped_cleaned_ocr.txt,juiceand,juiced
IMG_8588_cropped_cleaned_ocr.txt,cookedchickpeas,
IMG_8588_cropped_cleaned_ocr.txt,waterrapeseedoil,
IMG_8589_cropped_cleaned_ocr.txt,sacaccucodlcolorrarcrdere,
IMG_8589_cropped_cleaned_ocr.txt,norobaerurororor,
IMG_8589_cropped_cleaned_ocr.txt,soragonccgr,
IMG_8591_cropped_cleaned_ocr.txt,strawerrter,
IMG_8591_cropped_cleaned_ocr.txt,ofphenylalanin,
IMG_8591_cropped_cleaned_ocr.txt,waterraef,
IMG_8593_cropped_cleaned_ocr.txt,moifical,
IMG_8593_cropped_cleaned_ocr.txt,lemonjuccocentratetickexh,
IMG_8593_cropped_cleaned_ocr.txt,nicciioiu,
IMG_8593_cropped_cleaned_ocr.txt,ingreieaelr,
IMG_8594_cropped_cleaned_ocr.txt,saltcoeoergrierte,
IMG_8594_cropped_cleaned_ocr.txt,ingreienttomatoesprgomatocuuarrtvear,
IMG_8595_cropped_cleaned_ocr.txt,rosteh,roster
IMG_8595_cropped_cleaned_ocr.txt,gesetri,
IMG_8595_cropped_cleaned_ocr.txt,chrel,"orel,cure,creel,chanel,hel,charnel,morel,chez,chores,chyle,cures,cereal,churl,ochres,caret,chiral,corer,chen,chill,cupel,curet,chore,chew,cred,camel,cured,chapel,crew,jurel,chorea,herl,cheryl,corbel,care,cored,carl,cornel,chare,carey,carpel,cheer,shrew,heel,chr,cher,ochrea,ochre,cartel,ceres,cheri,curl,carew,caryl,chisel,corey,chela,chile,cares,cores,carer,cere,three,cheek,chef,threw,cheep,coral,cared,chief,cered,shred,shrek,chris,carrel,che,core,carvel,wheel,cree,chert,carol,curer,carmel,cyril,choral,cruel,chron"
IMG_8595_cropped_cleaned_ocr.txt,ingreie,"ingress,ingrain,lingerie,ingrid,ingres,ingrate"
IMG_8595_cropped_cleaned_ocr.txt,peppergnole,
IMG_8598_cropped_cleaned_ocr.txt,cocoabuteremulsifier,
IMG_8598_cropped_cleaned_ocr.txt,yrup,"yup,syrup"
IMG_8598_cropped_cleaned_ocr.txt,seedflour,
IMG_8598_cropped_cleaned_ocr.txt,suar,"guar,sugar,saar,scar,soar,sear,suer,sura,spar,star,sur"
IMG_8598_cropped_cleaned_ocr.txt,sugarglucose,
IMG_8598_cropped_cleaned_ocr.txt,vaillaexrcocoaowderegolknl,
IMG_8598_cropped_cleaned_ocr.txt,lowfatcocoapowder,
