filename,misspelt_word,candidates
IMG_8586_cropped_cleaned_ocr.txt,fetedsoyaproductwithadded,
IMG_8586_cropped_cleaned_ocr.txt,lbulgaricus,
IMG_8586_cropped_cleaned_ocr.txt,cak,"oak,cab,cake,caw,cav,cal,calk,cask,cap,cay,yak,caky,cark,cat,ca,can,cad,car,dak,cam"
IMG_8586_cropped_cleaned_ocr.txt,tricalciumcitrate,
IMG_8586_cropped_cleaned_ocr.txt,cemophilus,herophilus
IMG_8586_cropped_cleaned_ocr.txt,amins,"mains,amiss,amis,amiens,amine,gamins,amin's,amin,amirs,amino,ayins,amines"
IMG_8586_cropped_cleaned_ocr.txt,acegulatorssodiumcitratescitricacid,
IMG_8586_cropped_cleaned_ocr.txt,herol,"herzl,heron,herl,hero,herod,heros"
IMG_8586_cropped_cleaned_ocr.txt,richextractfattyacidestersof,
IMG_8586_cropped_cleaned_ocr.txt,ansbdliecules,
IMG_8586_cropped_cleaned_ocr.txt,stabiliserpectins,
IMG_8587_cropped_cleaned_ocr.txt,thermophilus,thermophiles
IMG_8587_cropped_cleaned_ocr.txt,naturalvora,
IMG_8587_cropped_cleaned_ocr.txt,fermentedsoyaproductwithadded,
IMG_8587_cropped_cleaned_ocr.txt,ingredientwaterhulleo,
IMG_8587_cropped_cleaned_ocr.txt,acidlour,acidulous
IMG_8587_cropped_cleaned_ocr.txt,calcumrictrabl,
IMG_8587_cropped_cleaned_ocr.txt,bulgaricus,"bulgarians,bulgaria's,bulgari's"
IMG_8587_cropped_cleaned_ocr.txt,tolr,"tor,tola,told,tole,tour,toll,torr,tolu,tolar"
IMG_8588_cropped_cleaned_ocr.txt,ekpea,"eked,pea,kea,ekes,expel,elea,ikea,eke"
IMG_8588_cropped_cleaned_ocr.txt,juiceand,juiced
IMG_8588_cropped_cleaned_ocr.txt,pastewith,
IMG_8588_cropped_cleaned_ocr.txt,cookedchickpeas,
IMG_8588_cropped_cleaned_ocr.txt,andsesameseed,
IMG_8588_cropped_cleaned_ocr.txt,sorbate,"striate,cordate,sororate,sorbets,sorbet,lobate,borate,probate,adsorbate,formate,forbade,ornate,seriate,sorbose,barbate,serrate,surbase,orate"
IMG_8588_cropped_cleaned_ocr.txt,waterrapeseedoil,
IMG_8589_cropped_cleaned_ocr.txt,soragonccgr,
IMG_8589_cropped_cleaned_ocr.txt,sacaccucodlcolorrarcrdere,
IMG_8589_cropped_cleaned_ocr.txt,norobaerurororor,
IMG_8591_cropped_cleaned_ocr.txt,waterraef,
IMG_8591_cropped_cleaned_ocr.txt,strawerrter,
IMG_8591_cropped_cleaned_ocr.txt,ofphenylalanin,
IMG_8593_cropped_cleaned_ocr.txt,nicciioiu,
IMG_8593_cropped_cleaned_ocr.txt,ingreieaelr,
IMG_8593_cropped_cleaned_ocr.txt,moifical,
IMG_8593_cropped_cleaned_ocr.txt,lemonjuccocentratetickexh,
IMG_8594_cropped_cleaned_ocr.txt,saltcoeoergrierte,
IMG_8594_cropped_cleaned_ocr.txt,ingreienttomatoesprgomatocuuarrtvear,
IMG_8595_cropped_cleaned_ocr.txt,peppergnole,
IMG_8595_cropped_cleaned_ocr.txt,ingreie,"ingrid,ingrain,ingrate,lingerie,ingres,ingress"
IMG_8595_cropped_cleaned_ocr.txt,chrel,"threw,chen,three,corey,chef,carl,chris,chief,ochrea,cheek,carpel,cher,ceres,cred,coral,camel,corbel,cheri,cheep,churl,herl,cornel,cered,chr,cored,cheryl,chela,chanel,hel,cure,carer,charnel,shred,crew,ochres,cares,carol,carey,cyril,cree,chorea,chiral,chew,carrel,orel,chare,ochre,cores,curl,heel,core,corer,chyle,carew,chill,caret,chapel,cared,chisel,cupel,cartel,caryl,carvel,morel,wheel,creel,curer,chore,cured,chile,care,jurel,cheer,chez,chores,cere,curet,chert,cruel,cereal,carmel,shrew,shrek,cures,chron,choral,che"
IMG_8595_cropped_cleaned_ocr.txt,gesetri,
IMG_8595_cropped_cleaned_ocr.txt,rosteh,roster
IMG_8598_cropped_cleaned_ocr.txt,cocoabuteremulsifier,
IMG_8598_cropped_cleaned_ocr.txt,suar,"sura,sugar,sear,saar,star,suer,soar,spar,scar,sur"
IMG_8598_cropped_cleaned_ocr.txt,sugarglucose,
IMG_8598_cropped_cleaned_ocr.txt,wholemilk,
IMG_8598_cropped_cleaned_ocr.txt,vaillaexrcocoaowderegolknl,
IMG_8598_cropped_cleaned_ocr.txt,soyaaa,"sonata,soya's,soya,toyama"
IMG_8598_cropped_cleaned_ocr.txt,lowfatcocoapowder,
IMG_8598_cropped_cleaned_ocr.txt,sabiliser,stabilizer
IMG_8598_cropped_cleaned_ocr.txt,yrup,"yup,syrup"
IMG_8598_cropped_cleaned_ocr.txt,lecithins,"lecithin,lecithin's"
IMG_8598_cropped_cleaned_ocr.txt,seedflour,
IMG_8598_cropped_cleaned_ocr.txt,andpeanuts,
IMG_8599_cropped_cleaned_ocr.txt,stabiliser,stabilizer
IMG_8599_cropped_cleaned_ocr.txt,uk,"up,ukr,auk,ur,yuk,k,um,us,uh,gk,usk,ut,u,bk,ok,mk"
IMG_8599_cropped_cleaned_ocr.txt,rehydrated,"dehydrated,rehydrate"
IMG_8599_cropped_cleaned_ocr.txt,flavouring,flavoring
IMG_8601_cropped_cleaned_ocr.txt,craberry,cranberry
IMG_8601_cropped_cleaned_ocr.txt,extractniacinironiolavinthiaminitmin,
IMG_8601_cropped_cleaned_ocr.txt,barleylouraltaat,
IMG_8601_cropped_cleaned_ocr.txt,freezedriedfruits,
IMG_8602_cropped_cleaned_ocr.txt,maltodextrinfat,
IMG_8602_cropped_cleaned_ocr.txt,vitaminb,"vitamin,vitamins"
IMG_8602_cropped_cleaned_ocr.txt,potassiumchloride,
IMG_8602_cropped_cleaned_ocr.txt,flavouring,flavoring
IMG_8602_cropped_cleaned_ocr.txt,folicacid,
IMG_8603_cropped_cleaned_ocr.txt,folic,"colic,folie,eolic,folio,frolic,folia"
IMG_8603_cropped_cleaned_ocr.txt,vitaminb,"vitamin,vitamins"
IMG_8603_cropped_cleaned_ocr.txt,oligofructose,
IMG_8603_cropped_cleaned_ocr.txt,ascorbyl,ascorbic
