image,char_edit,char_edit_norm,char_ratio,char_ratio_norm,cer,cac,word_edit,word_ratio,wer,wac
IMG_7476,10,4,0.9371428571428572,0.975609756097561,0.047619047619047616,0.9523809523809523,4,0.7,0.36363636363636365,0.6363636363636364
IMG_7522,109,92,0.5669291338582677,0.6008583690987124,0.5679012345679012,0.4320987654320988,21,0.24242424242424243,0.84,0.16000000000000003
IMG_7760,127,93,0.7697841726618705,0.8178294573643411,0.3059210526315789,0.694078947368421,47,0.0,1.0,0.0
IMG_7761,5,0,0.9896049896049897,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_7762,61,40,0.8884955752212389,0.9216417910447761,0.13937282229965156,0.8606271777003485,32,0.18867924528301883,0.8648648648648649,0.1351351351351351
IMG_7763,265,225,0.5575959933222037,0.593128390596745,0.5784061696658098,0.4215938303341902,52,0.08823529411764708,0.9454545454545454,0.054545454545454564
IMG_7766,158,124,0.7774936061381075,0.8206521739130435,0.3024390243902439,0.697560975609756,35,0.5161290322580645,0.6140350877192983,0.38596491228070173
IMG_8579,13,1,0.9757009345794393,0.9979879275653923,0.004016064257028112,0.9959839357429718,2,0.9589041095890412,0.05405405405405406,0.9459459459459459
IMG_8580,253,194,0.6759847522236341,0.7300275482093663,0.4226579520697168,0.5773420479302832,64,0.05128205128205132,0.9696969696969697,0.030303030303030276
IMG_8581,13,1,0.9631578947368421,0.9971181556195965,0.005780346820809248,0.9942196531791907,1,0.9565217391304348,0.043478260869565216,0.9565217391304348
IMG_8582,675,601,0.22399999999999998,0.24937655860349128,0.8573466476462197,0.1426533523537803,107,0.0,1.0,0.0
IMG_8583,22,1,0.9752808988764045,0.9987937273823885,0.0024096385542168677,0.9975903614457832,2,0.9739130434782609,0.034482758620689655,0.9655172413793104
IMG_8586,152,130,0.7315436241610738,0.7629233511586453,0.43333333333333335,0.5666666666666667,39,0.20588235294117652,0.8478260869565217,0.15217391304347827
IMG_8587,167,141,0.6589595375722543,0.6927835051546392,0.47,0.53,36,0.31746031746031744,0.782608695652174,0.21739130434782605
IMG_8588,23,13,0.9440993788819876,0.9649122807017544,0.055793991416309016,0.944206008583691,15,0.5964912280701755,0.46875,0.53125
IMG_8589,333,304,0.3844731977818854,0.40625,0.7450980392156863,0.2549019607843137,54,0.0,1.0,0.0
IMG_8590,443,387,0.0,0.0,1.0,0.0,55,0.0,1.0,0.0
IMG_8591,293,267,0.3244444444444444,0.3405275779376499,0.7899408284023669,0.2100591715976331,40,0.21818181818181814,0.8888888888888888,0.11111111111111116
IMG_8593,159,137,0.4573378839590444,0.49446494464944646,0.6715686274509803,0.32843137254901966,25,0.0625,0.9615384615384616,0.038461538461538436
IMG_8594,106,94,0.5046728971962617,0.5346534653465347,0.6351351351351351,0.3648648648648649,21,0.0,1.0,0.0
IMG_8595,150,130,0.34782608695652173,0.38095238095238093,0.7647058823529411,0.23529411764705888,24,0.0,1.0,0.0
IMG_8596,4,0,0.9636363636363636,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8597,2,0,0.9824561403508771,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8598,62,42,0.8847583643122676,0.9163346613545816,0.15441176470588236,0.8455882352941176,28,0.417910447761194,0.6666666666666666,0.33333333333333337
IMG_8599,11,1,0.9701492537313433,0.9947089947089947,0.005291005291005291,0.9947089947089947,1,0.9615384615384616,0.038461538461538464,0.9615384615384616
IMG_8601,51,34,0.8827586206896552,0.9095744680851063,0.16585365853658537,0.8341463414634146,17,0.5531914893617021,0.5666666666666667,0.43333333333333335
IMG_8602,50,37,0.8743718592964824,0.8980716253443526,0.2215568862275449,0.7784431137724551,12,0.6666666666666667,0.46153846153846156,0.5384615384615384
IMG_8603,24,4,0.956989247311828,0.9922178988326849,0.015444015444015444,0.9845559845559846,6,0.8823529411764706,0.16666666666666666,0.8333333333333334
IMG_8604,0,0,1.0,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8605,10,0,0.9647887323943662,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8606,27,17,0.8778280542986425,0.9178743961352657,0.15178571428571427,0.8482142857142857,15,0.23076923076923073,0.8333333333333334,0.16666666666666663
IMG_8607,116,99,0.6516290726817042,0.6866485013623977,0.4669811320754717,0.5330188679245282,14,0.679245283018868,0.4666666666666667,0.5333333333333333
IMG_8608,61,26,0.8767676767676768,0.9353233830845771,0.12149532710280374,0.8785046728971962,20,0.4528301886792453,0.625,0.375
IMG_8610,35,12,0.935064935064935,0.976,0.046875,0.953125,22,0.40740740740740744,0.6666666666666666,0.33333333333333337
IMG_8611,52,43,0.31818181818181823,0.3950617283950617,0.7413793103448276,0.2586206896551724,8,0.0,1.0,0.0
